db_id,targetId,outcomeId,strata_id,strata_name,total,timeAtRisk,cases,year
AMBEMR202005,3417,3418,0,age<35,0,0,0,2005
AMBEMR202005,3417,3418,3,age >=65,0,0,0,2005
AMBEMR202005,3417,3418,5,male sex,0,0,0,2005
AMBEMR202005,3417,3418,4,female sex,0,0,0,2005
AMBEMR202005,3417,3418,1,age 35 to <50,0,0,0,2005
AMBEMR202005,3417,3418,2,age 50 to <65,0,0,0,2005
AMBEMR202005,3415,3416,2,age 50 to <65,1524141,1022108,0,2006
AMBEMR202005,3415,3416,1,age 35 to <50,1423303,906560,0,2006
AMBEMR202005,3415,3416,4,female sex,3144161,2078611,0,2006
AMBEMR202005,3415,3416,5,male sex,2218903,1437707,0,2006
AMBEMR202005,3415,3416,3,age >=65,1348251,945558,0,2006
AMBEMR202005,3415,3416,0,age<35,1084750,649890,0,2006
AMBEMR202005,3413,3414,0,age<35,1366070,861191,11,2007
AMBEMR202005,3413,3414,1,age 35 to <50,1726264,1155370,115,2007
AMBEMR202005,3413,3414,2,age 50 to <65,1896074,1330982,237,2007
AMBEMR202005,3413,3414,4,female sex,3917602,2716467,221,2007
AMBEMR202005,3413,3414,5,male sex,2745745,1860485,286,2007
AMBEMR202005,3413,3414,3,age >=65,1696925,1240249,144,2007
AMBEMR202005,3411,3412,4,female sex,4521667,3217744,382,2008
AMBEMR202005,3411,3412,0,age<35,1596282,1039010,29,2008
AMBEMR202005,3411,3412,3,age >=65,1982993,1481840,238,2008
AMBEMR202005,3411,3412,5,male sex,3172040,2208544,463,2008
AMBEMR202005,3411,3412,1,age 35 to <50,1952773,1342626,199,2008
AMBEMR202005,3411,3412,2,age 50 to <65,2191164,1576962,379,2008
AMBEMR202005,3409,3410,2,age 50 to <65,2526006,1812181,470,2009
AMBEMR202005,3409,3410,4,female sex,5188318,3677580,436,2009
AMBEMR202005,3409,3410,5,male sex,3626096,2516782,574,2009
AMBEMR202005,3409,3410,3,age >=65,2319826,1725822,305,2009
AMBEMR202005,3409,3410,1,age 35 to <50,2178184,1491980,210,2009
AMBEMR202005,3409,3410,0,age<35,1831390,1184729,25,2009
AMBEMR202005,3407,3408,4,female sex,5920893,4164204,483,2010
AMBEMR202005,3407,3408,2,age 50 to <65,2930766,2086760,507,2010
AMBEMR202005,3407,3408,0,age<35,2057624,1315275,35,2010
AMBEMR202005,3407,3408,3,age >=65,2719571,2008388,305,2010
AMBEMR202005,3407,3408,5,male sex,4172265,2868591,667,2010
AMBEMR202005,3407,3408,1,age 35 to <50,2423865,1643054,303,2010
AMBEMR202005,3405,3406,1,age 35 to <50,2855498,1838132,240,2011
AMBEMR202005,3405,3406,4,female sex,7188713,4829857,474,2011
AMBEMR202005,3405,3406,2,age 50 to <65,3574574,2433632,515,2011
AMBEMR202005,3405,3406,0,age<35,2490344,1511138,25,2011
AMBEMR202005,3405,3406,3,age >=65,3403710,2424554,329,2011
AMBEMR202005,3405,3406,5,male sex,5099091,3358710,635,2011
AMBEMR202005,3403,3404,0,age<35,2727618,1665610,33,2012
AMBEMR202005,3403,3404,3,age >=65,3856423,2792651,143,2012
AMBEMR202005,3403,3404,5,male sex,5612869,3738485,326,2012
AMBEMR202005,3403,3404,2,age 50 to <65,3919220,2695353,274,2012
AMBEMR202005,3403,3404,4,female sex,7953504,5400960,240,2012
AMBEMR202005,3403,3404,1,age 35 to <50,3074811,1991463,116,2012
AMBEMR202005,3401,3402,4,female sex,8702000,5711548,224,2013
AMBEMR202005,3401,3402,3,age >=65,4329573,3024803,140,2013
AMBEMR202005,3401,3402,2,age 50 to <65,4300785,2854913,229,2013
AMBEMR202005,3401,3402,0,age<35,2998878,1757933,24,2013
AMBEMR202005,3401,3402,5,male sex,6200152,3967442,269,2013
AMBEMR202005,3401,3402,1,age 35 to <50,3281607,2044855,100,2013
AMBEMR202005,3419,3420,2,age 50 to <65,6689680,3808238,680,2014
AMBEMR202005,3419,3420,4,female sex,13332554,7540869,675,2014
AMBEMR202005,3419,3420,0,age<35,4395810,2249950,39,2014
AMBEMR202005,3419,3420,1,age 35 to <50,4896511,2644004,336,2014
AMBEMR202005,3419,3420,5,male sex,9554196,5288850,788,2014
AMBEMR202005,3419,3420,3,age >=65,6955964,4147767,408,2014
AMBEMR202005,3399,3400,5,male sex,9621160,5871837,883,2015
