db_id,targetId,outcomeId,total,timeAtRisk,cases,year
AMBEMR202005,3415,3416,5380445,3524112,0,2006
AMBEMR202005,3413,3414,6685333,4587791,507,2007
AMBEMR202005,3411,3412,7723212,5440433,845,2008
AMBEMR202005,3409,3410,8855406,6214709,1010,2009
AMBEMR202005,3407,3408,10131826,7053472,1150,2010
AMBEMR202005,3405,3406,12324126,8207452,1109,2011
AMBEMR202005,3403,3404,13578072,9145073,566,2012
AMBEMR202005,3401,3402,14910843,9682499,493,2013
AMBEMR202005,3419,3420,22937965,12849957,1463,2014
AMBEMR202005,3399,3400,22964662,14254602,1708,2015
AMBEMR202005,3397,3398,21122826,13314227,1939,2016
AMBEMR202005,3395,3396,20687673,12447224,1781,2017
AMBEMR202005,3392,3393,18674318,11300889,875,2018
AMBEMR202005,3388,3389,16128278,9301306,917,2019
BELG202006,3407,3408,253075,89344,0,2010
BELG202006,3405,3406,330272,216166,9,2011
BELG202006,3403,3404,317187,210761,17,2012
BELG202006,3401,3402,319029,212675,24,2013
BELG202006,3419,3420,310417,205325,36,2014
BELG202006,3399,3400,308887,207304,27,2015
BELG202006,3397,3398,306591,204869,45,2016
BELG202006,3395,3396,312789,203039,32,2017
BELG202006,3392,3393,312786,203182,22,2018
BELG202006,3388,3389,302699,188921,21,2019
cdmgold202007,49,69,4600194,3596364,761,2005
cdmgold202007,50,70,4735527,3635307,948,2006
cdmgold202007,51,71,4774537,3767786,1155,2007
cdmgold202007,52,72,4715669,3716657,1413,2008
cdmgold202007,53,73,4771388,3757242,1596,2009
cdmgold202007,54,74,4726124,3703410,1651,2010
cdmgold202007,55,75,4624792,3627756,1709,2011
cdmgold202007,56,76,4576040,3620732,1687,2012
cdmgold202007,57,77,4514656,3517935,1581,2013
cdmgold202007,58,78,4276028,3268363,1485,2014
cdmgold202007,59,79,3971951,2976621,1150,2015
cdmgold202007,60,80,3282555,2556469,871,2016
cdmgold202007,61,81,2849194,2211872,649,2017
cdmgold202007,62,82,2653686,2094220,501,2018
cdmgold202007,63,83,2555396,2000771,361,2019
OPEN202005,3417,3418,61629682,38450768,42465,2005
OPEN202005,3415,3416,62391175,38696837,49418,2006
OPEN202005,3413,3414,70361737,42984050,58170,2007
OPEN202005,3411,3412,79566183,49868801,71444,2008
OPEN202005,3409,3410,112557635,68970247,114409,2009
OPEN202005,3407,3408,191961865,138075602,139231,2010
OPEN202005,3405,3406,200044420,140861995,143463,2011
OPEN202005,3403,3404,206609450,149799025,141712,2012
OPEN202005,3401,3402,217003932,160556832,182021,2013
OPEN202005,3419,3420,226166881,165984784,204645,2014
OPEN202005,3399,3400,230521100,170314307,209402,2015
OPEN202005,3397,3398,241238453,177491982,212048,2016
OPEN202005,3395,3396,241477218,176966148,204810,2017
OPEN202005,3392,3393,242304433,175470351,199974,2018
OPEN202005,3388,3389,234922914,163298351,187183,2019
