Year,Age (SD),Gender (% female),Charlson index (SD),Medicines previous month (IQR)
2005,54.83 (11.96),48.19,0.57 (1.25),0 (0-0)
2006,55.06 (12.08),47.78,0.62 (1.27),0 (0-0)
2007,55.39 (12.25),46.74,0.67 (1.32),0 (0-0)
2008,55.74 (12.41),46.73,0.73 (1.40),0 (0-0)
2009,55.58 (12.42),46.35,0.82 (1.43),0 (0-0)
2010,55.80 (12.45),45.99,0.94 (1.55),3 (0-6)
2011,56.07 (12.53),45.51,1.02 (1.63),4 (1-7)
2012,56.41 (12.65),45.52,1.11 (1.67),4 (2-7)
2013,56.14 (12.58),45.11,1.15 (1.73),5 (3-9)
2014,56.12 (12.47),44.53,1.23 (1.82),6 (3-11)
2015,56.22 (12.42),44.68,1.36 (1.90),7 (3-11)
2016,56.48 (12.34),45.20,1.49 (2.03),7 (3-12)
2017,56.83 (12.21),45.27,1.60 (2.11),7 (3-12)
2018,57.21 (12.22),45.58,1.71 (2.18),7 (3-12)
2019,57.50 (12.17),45.25,1.77 (2.24),7 (3-12)
